year	month	data-type	region	extent	area	time
1983	2	Goddard	S	3.07	1.91	1983.125
1983	3	Goddard	N	16.09	12.93	1983.20833333333
1983	3	Goddard	S	4.02	2.62	1983.20833333333
1983	4	Goddard	N	15.17	12.21	1983.29166666667
1983	4	Goddard	S	6.47	4.7	1983.29166666667
1983	5	Goddard	N	13.49	10.87	1983.375
1983	5	Goddard	S	9.53	7.16	1983.375
1983	6	Goddard	N	12.3	9.27	1983.45833333333
1983	6	Goddard	S	12.64	9.77	1983.45833333333
1983	7	Goddard	N	10.57	6.86	1983.54166666667
1983	7	Goddard	S	15.47	12.37	1983.54166666667
1983	8	Goddard	N	8.19	4.97	1983.625
1983	8	Goddard	S	17.25	13.84	1983.625
1983	9	Goddard	N	7.39	4.7	1983.70833333333
1983	9	Goddard	S	18.59	14.68	1983.70833333333
1983	10	Goddard	N	9.33	6.79	1983.79166666667
1983	10	Goddard	S	17.92	13.92	1983.79166666667
1983	11	Goddard	N	11.46	8.99	1983.875
1983	11	Goddard	S	16.01	11.57	1983.875
1983	12	Goddard	N	13.3	10.63	1983.95833333333
1983	12	Goddard	S	10.39	6.71	1983.95833333333
1984	1	Goddard	N	14.47	11.68	1984.04166666667
1984	1	Goddard	S	4.78	2.93	1984.04166666667
1984	2	Goddard	N	15.3	12.26	1984.125
1984	2	Goddard	S	2.68	1.75	1984.125
1984	3	Goddard	N	15.58	12.55	1984.20833333333
1984	3	Goddard	S	3.61	2.34	1984.20833333333
1984	4	Goddard	N	15.01	12.18	1984.29166666667
1984	4	Goddard	S	6.42	4.53	1984.29166666667
1984	5	Goddard	N	13.58	10.88	1984.375
1984	5	Goddard	S	9.75	7.41	1984.375
1984	6	Goddard	N	12.15	9.09	1984.45833333333
1984	6	Goddard	S	13.23	10.64	1984.45833333333
1984	7	Goddard	N	9.98	6.3	1984.54166666667
1984	7	Goddard	S	16.4	13.38	1984.54166666667
1984	8	Goddard	N	7.77	4.68	1984.625
1984	8	Goddard	S	17.93	14.23	1984.625
1984	9	Goddard	N	6.81	4.11	1984.70833333333
1984	9	Goddard	S	18.17	14.27	1984.70833333333
1984	10	Goddard	N	8.56	5.91	1984.79166666667
1984	10	Goddard	S	17.57	13.73	1984.79166666667
1984	11	Goddard	N	10.84	8.24	1984.875
1984	11	Goddard	S	16.13	12.06	1984.875
1984	12	Goddard	N	12.99	10.27	1984.95833333333
1984	12	Goddard	S	10.47	6.96	1984.95833333333
1985	1	Goddard	N	14.72	11.69	1985.04166666667
1985	1	Goddard	S	4.46	2.87	1985.04166666667
1985	2	Goddard	N	15.47	12.48	1985.125
1985	2	Goddard	S	2.84	1.83	1985.125
1985	3	Goddard	N	15.89	12.75	1985.20833333333
1985	3	Goddard	S	3.72	2.54	1985.20833333333
1985	4	Goddard	N	15.36	12.54	1985.29166666667
1985	4	Goddard	S	6.49	4.74	1985.29166666667
1985	5	Goddard	N	14.07	11.25	1985.375
1985	5	Goddard	S	10.15	7.84	1985.375
1985	6	Goddard	N	12.22	8.96	1985.45833333333
1985	6	Goddard	S	13.43	10.51	1985.45833333333
1985	7	Goddard	N	9.74	5.99	1985.54166666667
1985	7	Goddard	S	15.72	12.48	1985.54166666667
1985	8	Goddard	N	7.4	4.6	1985.625
1985	8	Goddard	S	17.63	14.24	1985.625
1985	9	Goddard	N	6.7	4.23	1985.70833333333
1985	9	Goddard	S	18.7	14.72	1985.70833333333
1985	10	Goddard	N	8.55	6.12	1985.79166666667
1985	10	Goddard	S	18.2	14.37	1985.79166666667
1985	11	Goddard	N	11.02	8.42	1985.875
1985	11	Goddard	S	16.14	12.34	1985.875
1985	12	Goddard	N	13.05	10.24	1985.95833333333
1985	12	Goddard	S	11.35	7.46	1985.95833333333
1986	1	Goddard	N	14.89	11.88	1986.04166666667
1986	1	Goddard	S	5.42	3.43	1986.04166666667
1986	2	Goddard	N	15.78	12.62	1986.125
1986	2	Goddard	S	3.19	2	1986.125
1986	3	Goddard	N	15.91	12.72	1986.20833333333
1986	3	Goddard	S	3.7	2.38	1986.20833333333
1986	4	Goddard	N	15.06	12.04	1986.29166666667
1986	4	Goddard	S	6.39	4.56	1986.29166666667
1986	5	Goddard	N	13.38	10.7	1986.375
1986	5	Goddard	S	9.3	7.04	1986.375
1986	6	Goddard	N	11.98	8.99	1986.45833333333
1986	6	Goddard	S	12.69	9.72	1986.45833333333
1986	7	Goddard	N	10.15	6.62	1986.54166666667
1986	7	Goddard	S	15.32	12.09	1986.54166666667
1986	8	Goddard	N	7.98	5.01	1986.625
1986	8	Goddard	S	17	13.46	1986.625
1986	9	Goddard	N	7.41	4.72	1986.70833333333
1986	9	Goddard	S	17.68	13.88	1986.70833333333
1986	10	Goddard	N	9.48	6.83	1986.79166666667
1986	10	Goddard	S	17.18	13.32	1986.79166666667
1986	11	Goddard	N	11.45	8.87	1986.875
1986	11	Goddard	S	15.01	10.87	1986.875
1986	12	Goddard	N	13.22	10.53	1986.95833333333
1986	12	Goddard	S	9.65	6.49	1986.95833333333
1987	1	Goddard	N	14.97	11.9	1987.04166666667
1987	1	Goddard	S	5.13	3.31	1987.04166666667
1987	2	Goddard	N	16.05	13.02	1987.125
1987	2	Goddard	S	3.25	2	1987.125
1987	3	Goddard	N	15.82	12.83	1987.20833333333
1987	3	Goddard	S	4.11	2.75	1987.20833333333
1987	4	Goddard	N	15.21	12.35	1987.29166666667
1987	4	Goddard	S	6.8	5.04	1987.29166666667
1987	5	Goddard	N	13.74	10.97	1987.375
1987	5	Goddard	S	9.69	7.53	1987.375
1987	6	Goddard	N	12.49	9.39	1987.45833333333
1987	6	Goddard	S	12.68	9.91	1987.45833333333
1987	7	Goddard	N	10.33	6.55	1987.54166666667
1987	7	Goddard	S	15.75	12.5	1987.54166666667
1987	8	Goddard	N	7.63	-9999	1987.625
1987	8	Goddard	S	17.6	14.02	1987.625
1987	9	Goddard	N	7.28	5.64	1987.70833333333
1987	9	Goddard	S	18.25	14.27	1987.70833333333
1987	10	Goddard	N	9.05	7.49	1987.79166666667
1987	10	Goddard	S	17.67	13.71	1987.79166666667
1987	11	Goddard	N	11.22	9.73	1987.875
1987	11	Goddard	S	15.58	11.23	1987.875
1987	12	-9999	N	-9999	-9999	1987.95833333333
1987	12	-9999	S	-9999	-9999	1987.95833333333
1988	1	-9999	N	-9999	-9999	1988.04166666667
1988	1	-9999	S	-9999	-9999	1988.04166666667
1988	2	Goddard	N	15.58	13.57	1988.125
1988	2	Goddard	S	2.89	1.9	1988.125
1988	3	Goddard	N	15.96	13.9	1988.20833333333
1988	3	Goddard	S	3.97	2.59	1988.20833333333
1988	4	Goddard	N	15.12	13.18	1988.29166666667
1988	4	Goddard	S	6.29	4.44	1988.29166666667
1988	5	Goddard	N	13.56	11.41	1988.375
1988	5	Goddard	S	9.6	7.23	1988.375
1988	6	Goddard	N	11.94	9.68	1988.45833333333
1988	6	Goddard	S	13.09	10.28	1988.45833333333
1988	7	Goddard	N	9.81	7.01	1988.54166666667
1988	7	Goddard	S	15.75	12.62	1988.54166666667
1988	8	Goddard	N	7.89	5.42	1988.625
1988	8	Goddard	S	17.56	13.98	1988.625
1988	9	Goddard	N	7.37	5.36	1988.70833333333
1988	9	Goddard	S	18.31	14.2	1988.70833333333
1988	10	Goddard	N	9.13	7.52	1988.79166666667
1988	10	Goddard	S	18.36	14.41	1988.79166666667
1988	11	Goddard	N	11.33	9.91	1988.875
1988	11	Goddard	S	16.15	12.29	1988.875
1988	12	Goddard	N	13.63	11.99	1988.95833333333
1988	12	Goddard	S	11.06	7.4	1988.95833333333
1989	1	Goddard	N	14.95	13.18	1989.04166666667
1989	1	Goddard	S	4.74	3.17	1989.04166666667
1989	2	Goddard	N	15.5	13.36	1989.125
1989	2	Goddard	S	2.98	2.03	1989.125
1989	3	Goddard	N	15.42	13.21	1989.20833333333
1989	3	Goddard	S	3.93	2.59	1989.20833333333
1989	4	Goddard	N	14.33	12.36	1989.29166666667
1989	4	Goddard	S	6.31	4.5	1989.29166666667
1989	5	Goddard	N	13.04	11.35	1989.375
1989	5	Goddard	S	10.3	8	1989.375
1989	6	Goddard	N	12.24	9.95	1989.45833333333
1989	6	Goddard	S	13.58	10.81	1989.45833333333
1989	7	Goddard	N	10.13	7.33	1989.54166666667
1989	7	Goddard	S	15.71	12.58	1989.54166666667
1989	8	Goddard	N	7.88	5.56	1989.625
1989	8	Goddard	S	17.47	14.03	1989.625
