sex	age	perceivedWeight	height	weight
Female	16	Very overweight	167.64	-0.907184
Female	15	Very overweight	177.8	-0.907184
Female	15	About the right weight	162.56	49.89512
Male	17	About the right weight	177.8	88.904032
Female	18	About the right weight	165.1	53.523856
Male	17	Slightly overweight	182.88	90.7184
Female	19	Slightly overweight	154.94	65.77084
Female	19	About the right weight	160.02	49.89512
Female	18	Slightly underweight	165.1	52.16308
Male	16	Slightly overweight	177.8	77.11064
Female	17	Slightly overweight	167.64	72.57472
Female	15	About the right weight	157.48	55.791816
Female	18	Slightly overweight	165.1	61.23492
Male	15	About the right weight	172.72	63.50288
Male	18	About the right weight	165.1	72.57472
Female	16	Slightly overweight	152.4	68.0388
Male	16	About the right weight	182.88	76.203456
Female	19	Slightly underweight	154.94	45.3592
Female	15	About the right weight	157.48	45.3592
Male	16	About the right weight	167.64	61.23492
Male	17	Slightly overweight	170.18	70.30676
Female	17	About the right weight	157.48	61.23492
Female	19	Very overweight	162.56	90.7184
Male	16	Slightly underweight	167.64	63.50288
Female	19	Slightly overweight	157.48	83.91452
Male	17	Slightly underweight	165.1	56.699
Male	19	About the right weight	182.88	74.84268
Female	15	Slightly underweight	162.56	43.09124
Male	17	About the right weight	182.88	70.30676
Female	15	About the right weight	165.1	49.89512
Female	18	Slightly overweight	170.18	74.84268
Female	15	Slightly overweight	165.1	59.874144
Male	17	Slightly overweight	167.64	56.699
Female	18	About the right weight	162.56	54.43104
Female	15	Slightly overweight	160.02	58.96696
Male	16	Slightly underweight	167.64	58.96696
Male	15	About the right weight	160.02	52.16308
Female	19	About the right weight	149.86	72.57472
Male	19	About the right weight	162.56	68.0388
Female	17	About the right weight	162.56	58.96696
Female	17	Slightly overweight	154.94	54.43104
Male	18	Slightly overweight	167.64	68.0388
Female	19	Very overweight	167.64	113.398
Male	16	Slightly overweight	180.34	68.0388
Male	17	Slightly overweight	177.8	81.64656
Male	15	Slightly overweight	175.26	95.25432
Female	15	Slightly underweight	154.94	47.62716
Male	18	About the right weight	162.56	63.50288
Male	18	About the right weight	160.02	58.96696
Female	17	About the right weight	162.56	58.96696
Male	19	Slightly overweight	180.34	95.25432
Female	18	About the right weight	160.02	59.874144
Female	20	Very underweight	170.18	-0.907184
Male	15	About the right weight	177.8	56.699
Female	15	Slightly underweight	167.64	49.89512
Male	15	About the right weight	165.1	56.699
Male	19	About the right weight	170.18	75.749864
Male	15	About the right weight	170.18	63.50288
Male	19	Slightly underweight	175.26	58.96696
Female	16	About the right weight	165.1	55.338224
Female	18	About the right weight	162.56	51.255896
Female	15	Slightly overweight	152.4	48.987936
Male	17	Slightly underweight	167.64	54.43104
Female	18	Slightly overweight	152.4	58.96696
Male	19	About the right weight	177.8	81.64656
Female	16	Slightly overweight	152.4	47.62716
Female	16	About the right weight	154.94	54.43104
Male	15	About the right weight	175.26	77.11064
Female	16	About the right weight	165.1	55.338224
Male	16	About the right weight	170.18	65.77084
Female	15	About the right weight	175.26	59.874144
Male	19	About the right weight	177.8	70.30676
Male	17	About the right weight	177.8	72.57472
Female	16	About the right weight	170.18	47.62716
Male	17	Slightly overweight	162.56	54.43104
Female	15	About the right weight	154.94	46.266384
Female	15	About the right weight	154.94	49.89512
Male	18	Slightly underweight	180.34	63.50288
Female	16	About the right weight	177.8	63.50288
Male	19	About the right weight	180.34	-0.907184
Male	15	About the right weight	172.72	-0.907184
Male	16	About the right weight	182.88	58.96696
Male	18	Slightly underweight	180.34	70.30676
Male	19	About the right weight	182.88	86.18248
Male	16	About the right weight	172.72	58.96696
Male	19	Very underweight	185.42	63.50288
Male	16	About the right weight	167.64	63.50288
Male	17	About the right weight	175.26	61.688512
Male	16	About the right weight	170.18	58.96696
Female	19	About the right weight	170.18	61.23492
Female	18	About the right weight	165.1	59.420552
Male	17	About the right weight	175.26	64.410064
Female	18	Slightly overweight	162.56	54.43104
Female	15	Slightly overweight	170.18	-0.907184
Female	17	About the right weight	160.02	53.070264
Female	17	Very overweight	149.86	95.25432
Female	16	About the right weight	167.64	58.96696
Male	18	About the right weight	167.64	-0.907184
Female	17	Slightly underweight	160.02	40.82328
Male	15	About the right weight	165.1	54.43104
Male	19	Slightly overweight	182.88	77.11064
Male	18	About the right weight	180.34	72.57472
Male	16	About the right weight	180.34	74.84268
Male	14	About the right weight	170.18	61.23492
Male	19	Slightly underweight	167.64	54.43104
Male	15	Slightly underweight	165.1	49.89512
Female	18	About the right weight	162.56	61.23492
Male	18	Very underweight	182.88	-0.907184
Female	15	Slightly overweight	160.02	63.50288
Male	19	Slightly overweight	175.26	81.64656
Female	16	Slightly overweight	162.56	-0.453592
Female	15	Slightly overweight	154.94	-0.453592
Female	15	Slightly overweight	157.48	49.89512
Female	19	Slightly overweight	170.18	-0.907184
Female	15	Slightly overweight	170.18	-0.453592
Female	16	About the right weight	162.56	54.43104
Male	17	About the right weight	182.88	81.64656
Female	15	Slightly overweight	152.4	-0.453592
Female	17	About the right weight	154.94	49.89512
Male	15	About the right weight	165.1	68.0388
Female	16	About the right weight	165.1	68.0388
Female	15	Slightly underweight	162.56	47.62716
Female	18	Slightly underweight	160.02	54.43104
Female	16	About the right weight	162.56	63.50288
Female	19	About the right weight	172.72	70.30676
Male	16	Slightly overweight	177.8	81.64656
Female	16	About the right weight	149.86	49.89512
Female	19	Slightly overweight	175.26	-0.453592
Female	19	About the right weight	160.02	56.699
Male	18	About the right weight	167.64	72.57472
Female	18	Slightly overweight	167.64	-0.453592
Female	17	About the right weight	160.02	56.699
Male	17	About the right weight	162.56	68.0388
Female	17	About the right weight	165.1	61.23492
Female	18	About the right weight	172.72	61.23492
